id,created_at,category,category_label,name,price,details,is_bestseller,is_featured,featured_image,featured_description,featured_duration,sort_order,is_bundle,bundle_child_ids,estimated_duration
f73040b9-90c0-4883-a142-502b419916f9,2026-07-12T15:29:41.995311+00:00,couple_package,Couple Package,Embrace Package,300000,"Massage Full Body Wanita 90 menit
Massage Full Body Pria 90 menit",False,False,,,,2,False,[],180
3b5cbb0f-8a9c-4e63-9f77-d266f9c9932c,2026-04-08T02:50:27.172476+00:00,packages,Massage Packages,Special Package Restore,190000,"Massage Full Body 120 menit, Scrub Full Body 10 menit, Totok Wajah 5 menit, Head Massage Free Masker",False,False,,,,3,False,[],140
4e327440-0cc3-49db-9457-a5b4fd75d31e,2026-07-12T15:31:52.847257+00:00,couple_package,Couple Package,Devotion Package,340000,"Massage Full Body Wanita 120 menit
Massage Full Body Pria 120 menit",False,False,,,,3,False,[],240
5f02e29d-2280-4b83-a5a9-d8e04916442f,2026-07-12T15:33:28.965251+00:00,couple_package,Couple Package,Aurora Package,310000,"Massage Full Body Wanita 60 menit + kerik 15 menit
Massage Full Body Pria 60 menit + kerik 15 menit",False,False,,,,4,False,[],150
49940c82-3941-4e83-848c-ec1d34c863a1,2026-07-12T15:34:11.656805+00:00,couple_package,Couple Package,Lumina Package,360000,"Massage Full Body Wanita 90 menit + kerik 15 menit
Massage Full Body Pria 90 menit + kerik 15 menit",False,False,,,,5,False,[],220
a8c41ef1-3597-4803-b94d-910afc088b2e,2026-07-12T15:35:36.699851+00:00,couple_package,Couple Package,Elysian Package,420000,"Massage Full Body Wanita 90 menit + Refleksi 30 menit
Massage Full Body Pria 90 menit + Refleksi 30 menit",False,False,,,,7,False,[],240
03b59b64-f187-4207-8336-bce628577767,2026-07-12T15:35:03.232074+00:00,couple_package,Couple Package,Celeste Package,370000,"Massage Full Body Wanita 60 menit + Refleksi 30 menit
Massage Full Body Pria 60 menit + Refleksi 30 menit",False,False,,,,6,False,[],180
99004d10-db2a-4f98-83b1-5d11c177777a,2026-07-12T16:18:16.816315+00:00,kid_mom,Kids & Mom Services,Little Relax,85000,Kids Full Body Massage 45 menit,False,False,,,,2,False,[],45
c2cd2cb4-9881-40c2-873e-d3bde1c50aba,2026-07-12T16:18:40.809535+00:00,kid_mom,Kids & Mom Services,Dreamy Kids,105000,Kids Full Body Massage 60 menit,False,False,,,,3,False,[],60
9645e664-1a4c-4f99-9db2-4a03435759c3,2026-07-12T16:19:04.954857+00:00,kid_mom,Kids & Mom Services,Dreamland,130000,Kids Full Body Massage 90 menit,False,False,,,,4,False,[],90
d694d658-0970-4151-9b3d-5b7b62e45e90,2026-07-12T16:38:20.667666+00:00,kid_mom,Kids & Mom Services,Sweet Moment,170000,Kids Full Body Massage 30 menit Mom Full Body Massage 60 menit Free Totok Wajah & Head Massage 5 menit,False,False,,,,5,False,[],95
a36debab-2204-4508-b2e4-168344e9e564,2026-07-12T16:39:45.776597+00:00,kid_mom,Kids & Mom Services,Cherished Moment,215000,Kids Full Body Massage 45 menit Mom Full Body Massage 90 menit Free Totok Wajah & Head Masage 5 menit,False,False,,,,6,False,[],140
e4a2d97f-9163-4b5f-b4d5-9ff80d260a7e,2026-07-12T16:17:55.011096+00:00,kid_mom,Kids & Mom Services,Little Calm,65000,Kids Full Body Massage 30 menit,False,False,,,,1,False,[],30
d4e454fb-2daa-4a84-b8ba-e3dc483a5394,2026-04-08T02:50:27.172476+00:00,packages,Massage Packages,Special Package Renewal,220000,"Massage Full Body 120 menit, Refleksi 30 menit, Scrub Full Body 10 menit, Totok Wajah 5 menit, Head Massage Free Masker",True,True,/featured-renewal.png,Pemulihan mendalam dengan tambahan Refleksi 30 menit untuk keseimbangan energi tubuh yang maksimal.,175 Min,6,False,[],155
7b86b611-85a5-4df3-aa28-637dafbaca1e,2026-07-22T06:04:10.536175+00:00,addons,Add-On Service,Waxing Half Leg,70000,,False,False,,,,18,False,[],30
